[2023-02-18T14:57:42.144] [ERROR] default - product not found
[2023-02-23T23:23:12.825] [WARN] default - /favicon.ico not found
[2023-02-23T23:23:15.878] [WARN] default - /favicon.ico not found
[2023-02-23T23:23:18.042] [WARN] default - /favicon.ico not found
[2023-02-23T23:23:50.667] [WARN] default - /favicon.ico not found
[2023-02-23T23:23:50.915] [WARN] default - /favicon.ico not found
[2023-02-23T23:23:51.384] [WARN] default - /favicon.ico not found
[2023-02-23T23:23:51.517] [WARN] default - /favicon.ico not found
[2023-02-23T23:23:51.675] [WARN] default - /favicon.ico not found
[2023-02-23T23:23:51.906] [WARN] default - /favicon.ico not found
[2023-02-23T23:23:52.339] [WARN] default - /favicon.ico not found
[2023-02-23T23:23:55.495] [WARN] default - /favicon.ico not found
[2023-02-23T23:23:55.775] [WARN] default - /favicon.ico not found
[2023-02-23T23:23:57.464] [WARN] default - /favicon.ico not found
[2023-02-23T23:23:57.590] [WARN] default - /favicon.ico not found
[2023-02-23T23:23:57.868] [WARN] default - /favicon.ico not found
[2023-02-23T23:23:58.363] [WARN] default - /favicon.ico not found
[2023-02-23T23:24:01.650] [WARN] default - /favicon.ico not found
[2023-02-23T23:24:01.830] [WARN] default - /favicon.ico not found
[2023-02-23T23:24:04.697] [WARN] default - /favicon.ico not found
[2023-02-23T23:24:08.242] [WARN] default - /favicon.ico not found
[2023-02-23T23:24:08.368] [WARN] default - /favicon.ico not found
[2023-02-23T23:24:09.738] [WARN] default - /favicon.ico not found
[2023-02-23T23:24:11.913] [WARN] default - /favicon.ico not found
[2023-02-23T23:24:12.051] [WARN] default - /favicon.ico not found
[2023-02-23T23:24:13.783] [WARN] default - /favicon.ico not found
[2023-02-23T23:24:15.137] [WARN] default - /favicon.ico not found
[2023-02-23T23:24:16.491] [WARN] default - /favicon.ico not found
[2023-02-23T23:24:17.624] [WARN] default - /favicon.ico not found
[2023-02-23T23:24:20.489] [WARN] default - /favicon.ico not found
[2023-02-23T23:24:20.691] [WARN] default - /favicon.ico not found
[2023-02-23T23:24:23.065] [WARN] default - /favicon.ico not found
